treatment,lh_diff
1,0
2,-6.111720688474
3,-0.329045944433
4,-2.631043893484
5,4.746356336019
6,-12.172702468725
7,-38.521812888087
8,-2.523021554074
9,-1.385032755146
10,-13.248444343292
11,0
12,-0.007652119048
13,2.079162342405
14,2.132587401924
15,3.965776250173
16,0
17,5.828485040683
18,2.570452805943
19,11.776692226819
20,11.121835376462
21,7.957864304219
22,-10.539998627604
23,-7.662962865032
24,-1.190149043851
25,-4.398603641803
26,-0.171718845947
27,-12.736039026437
28,-1.230280472444
29,-12.996611993247
30,-0.509347988179
31,0
32,1.692511249048
33,1.231524016472
34,-3.550165594577
35,16.679200570297
36,0
37,-8.457638190961
38,-12.448309442507
39,-13.624312808279
40,-16.084645843269
